id,key,value,type
157546610,ele,68,regular
157546610,gnis:Class,Populated Place,regular
157546610,gnis:County,Cumberland,regular
157546610,gnis:County_num,51,regular
157546610,gnis:ST_alpha,NC,regular
157546610,gnis:ST_num,37,regular
157546610,gnis:id,1004891,regular
157546610,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157546610,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157546610,name,Kingsford,regular
157546610,place,hamlet,regular
157547599,ele,41,regular
157547599,gnis:Class,Populated Place,regular
157547599,gnis:County,Cumberland,regular
157547599,gnis:County_num,51,regular
157547599,gnis:ST_alpha,NC,regular
157547599,gnis:ST_num,37,regular
157547599,gnis:id,1004897,regular
157547599,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157547599,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157547599,name,Highland Village,regular
157547599,place,hamlet,regular
157548482,ele,63,regular
157548482,gnis:Class,Populated Place,regular
157548482,gnis:County,Cumberland,regular
157548482,gnis:County_num,51,regular
157548482,gnis:ST_alpha,NC,regular
157548482,gnis:ST_num,37,regular
157548482,gnis:id,1004924,regular
157548482,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157548482,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157548482,name,Crossgates,regular
157548482,place,hamlet,regular
157557588,ele,29,regular
157557588,gnis:Class,Populated Place,regular
157557588,gnis:County,Cumberland,regular
157557588,gnis:County_num,51,regular
157557588,gnis:ST_alpha,NC,regular
157557588,gnis:ST_num,37,regular
157557588,gnis:id,1004959,regular
157557588,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157557588,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157557588,name,Fairview Park,regular
157557588,place,hamlet,regular
157559102,ele,23,regular
157559102,gnis:Class,Populated Place,regular
157559102,gnis:County,Cumberland,regular
157559102,gnis:County_num,51,regular
157559102,gnis:ST_alpha,NC,regular
157559102,gnis:ST_num,37,regular
157559102,gnis:id,1020078,regular
157559102,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157559102,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157559102,name,East Fayetteville,regular
157559102,place,hamlet,regular
157560556,ele,59,regular
157560556,gnis:Class,Populated Place,regular
157560556,gnis:County,Cumberland,regular
157560556,gnis:County_num,51,regular
157560556,gnis:ST_alpha,NC,regular
157560556,gnis:ST_num,37,regular
157560556,gnis:id,1004952,regular
157560556,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
157560556,is_in,"Cumberland,North Carolina,N.C.,NC,USA",regular
157560556,name,Southview Townhouses,regular
157560556,place,hamlet,regular
157562069,census:population,168033;2006,regular
157562069,ele,29,regular
157562069,gnis:Class,Populated Place,regular
157562069,gnis:County,Cumberland,regular
