id,user,uid,version,changeset,timestamp
16487611,bot-mode,451693,2,15793182,2013-04-20T06:29:54Z
16487615,MrNyanUniverse,7122319,4,54973053,2017-12-28T04:43:48Z
16487623,bot-mode,451693,2,15793182,2013-04-20T06:29:56Z
16487634,fredjunod,84054,3,21924856,2014-04-25T07:45:35Z
16487641,bot-mode,451693,2,15793182,2013-04-20T06:29:58Z
16487645,bot-mode,451693,2,15793182,2013-04-20T06:29:58Z
16487669,MikeN,135163,3,7296400,2011-02-15T16:36:10Z
16487678,Caboosey,171516,5,41010527,2016-07-25T12:12:59Z
16487715,-Schwarz-,7093338,3,61016126,2018-07-24T09:59:18Z
16487716,dtanderson,60283,2,12037195,2012-06-27T14:56:37Z
16487720,hoream_telenav,4437318,5,63568935,2018-10-16T09:07:42Z
16487732,Caboosey,171516,3,41010527,2016-07-25T12:12:58Z
16487757,Caboosey,171516,5,41010527,2016-07-25T12:13:00Z
16487760,maxerickson,360392,2,40448869,2016-07-02T22:20:30Z
16487770,MrNyanUniverse,7122319,5,55070744,2018-01-01T08:02:50Z
16487785,NE2,207745,7,9994929,2011-11-30T02:28:14Z
16487790,bdiscoe,402624,3,34861626,2015-10-25T15:29:25Z
16487800,WashuOtaku,5009402,5,64171091,2018-11-04T16:36:35Z
16487811,ingalls,305985,3,20623384,2014-02-17T20:26:27Z
16487812,michalg0x5a,11547,3,25575356,2014-09-21T09:37:26Z
16487813,ingalls,305985,3,20623384,2014-02-17T20:26:27Z
16487816,dtanderson,60283,2,12037195,2012-06-27T15:09:36Z
16487817,dtanderson,60283,2,12037195,2012-06-27T15:11:55Z
16487818,ingalls,305985,3,20624097,2014-02-17T20:54:32Z
16487820,dtanderson,60283,2,12037195,2012-06-27T15:16:12Z
16487822,dtanderson,60283,2,12037195,2012-06-27T15:16:12Z
16487838,dtanderson,60283,3,12037195,2012-06-27T16:05:16Z
16487842,DaveHansenTiger,7168,1,306680,2007-12-15T06:28:14Z
16487860,maxugglan,107681,2,4018861,2010-03-02T18:35:33Z
16487870,MikeN,135163,3,7296400,2011-02-15T16:35:24Z
16487873,MikeN,135163,4,7296400,2011-02-15T16:35:05Z
16487875,DaveHansenTiger,7168,1,306680,2007-12-15T06:28:30Z
16487880,MikeN,135163,2,7296400,2011-02-15T16:35:39Z
16487896,RoadGeek_MD99,475877,5,65722134,2018-12-23T18:48:16Z
16487902,maxerickson,360392,3,40555669,2016-07-07T20:48:17Z
16487912,Stephen214,4018842,9,56433832,2018-02-17T07:28:52Z
16487931,Roadsguy,734072,5,61212079,2018-07-31T01:05:41Z
16487935,DaveHansenTiger,7168,1,306680,2007-12-15T06:29:11Z
16487945,RoadGeek_MD99,475877,4,65725256,2018-12-23T21:47:38Z
16487968,Caboosey,171516,5,41010974,2016-07-25T12:34:33Z
16487971,DaveHansenTiger,7168,1,306680,2007-12-15T06:29:30Z
16487977,hoream_telenav,4437318,6,63573899,2018-10-16T12:05:36Z
16488016,DaveHansenTiger,7168,1,306680,2007-12-15T06:29:51Z
16488026,MrNyanUniverse,7122319,4,55256502,2018-01-08T07:38:38Z
16488038,boopington,8649216,3,65140140,2018-12-03T21:34:23Z
16488073,maxerickson,360392,2,41099562,2016-07-29T04:29:05Z
16488082,ingalls,305985,2,20624693,2014-02-17T21:20:29Z
16488097,DaveHansenTiger,7168,1,306680,2007-12-15T06:30:29Z
16488098,dtanderson,60283,2,12037195,2012-06-27T16:10:00Z
16488102,Chris Lawrence,36121,4,53017115,2017-10-17T16:50:24Z
16488112,Stephen214,4018842,8,56433832,2018-02-17T07:28:52Z
16488117,Stephen214,4018842,4,56433832,2018-02-17T07:28:52Z
16488122,WashuOtaku,5009402,5,64173277,2018-11-04T17:48:08Z
16488138,maxerickson,360392,2,40445370,2016-07-02T18:15:35Z
16488165,RoadGeek_MD99,475877,3,65752195,2018-12-25T00:32:48Z
16488175,Caboosey,171516,3,41010974,2016-07-25T12:34:29Z
16488180,MikeN,135163,4,7296400,2011-02-15T16:35:32Z
16488182,DaveHansenTiger,7168,1,306680,2007-12-15T06:31:10Z
16488203,MikeN,135163,3,7296400,2011-02-15T16:35:01Z
16488209,Chris Lawrence,36121,4,53017115,2017-10-17T16:50:25Z
16488220,DaveHansenTiger,7168,1,306903,2007-12-15T06:31:36Z
16488229,DaveHansenTiger,7168,1,306903,2007-12-15T06:31:40Z
16488232,maxerickson,360392,5,40445370,2016-07-02T18:15:34Z
16488233,maxerickson,360392,2,40445370,2016-07-02T18:15:34Z
16488236,RussNelson,3962,2,36830323,2016-01-27T05:14:03Z
16488241,DaveHansenTiger,7168,1,306903,2007-12-15T06:31:48Z
16488254,maxerickson,360392,3,41099562,2016-07-29T04:29:05Z
16488258,maxerickson,360392,2,40445370,2016-07-02T18:15:32Z
16488259,maxerickson,360392,3,41099562,2016-07-29T04:29:05Z
16488272,maxerickson,360392,4,41099562,2016-07-29T04:29:05Z
16488273,maxerickson,360392,2,41099562,2016-07-29T04:29:05Z
16488280,DaveHansenTiger,7168,1,306903,2007-12-15T06:32:04Z
16488302,maxerickson,360392,2,41099562,2016-07-29T04:29:05Z
16488331,DaveHansenTiger,7168,1,306903,2007-12-15T06:32:28Z
16488334,Caboosey,171516,7,41010974,2016-07-25T12:34:30Z
16488344,DaveHansenTiger,7168,1,306903,2007-12-15T06:32:35Z
16488352,Stephen214,4018842,5,56433832,2018-02-17T07:28:53Z
16488359,envy27,282230,5,52294249,2017-09-23T04:49:14Z
16488362,Caboosey,171516,6,40992347,2016-07-24T14:30:40Z
16488379,Jeffrey Jakucyk,340075,2,5839864,2010-09-21T19:30:06Z
16488395,Caboosey,171516,5,41010974,2016-07-25T12:34:29Z
16488398,Caboosey,171516,3,41010974,2016-07-25T12:34:27Z
16488402,Caboosey,171516,3,41010974,2016-07-25T12:34:29Z
16488411,MrNyanUniverse,7122319,3,57759137,2018-04-03T04:52:22Z
16488414,Caboosey,171516,7,40992347,2016-07-24T14:30:40Z
16488419,Roadsguy,734072,5,63522062,2018-10-14T23:15:41Z
16488421,ingalls,305985,2,20624390,2014-02-17T21:07:09Z
16488425,MikeN,135163,3,7296400,2011-02-15T16:36:19Z
16488436,hoream_telenav,4437318,5,63565483,2018-10-16T06:52:26Z
16488437,Caboosey,171516,3,41010527,2016-07-25T12:13:01Z
16488438,MrNyanUniverse,7122319,2,54282915,2017-12-02T21:48:30Z
16488440,ingalls,305985,2,20623384,2014-02-17T20:26:27Z
16488447,dtanderson,60283,2,12037195,2012-06-27T16:08:21Z
16488465,NE2,207745,4,12587642,2012-08-02T16:03:27Z
16488470,hoream_telenav,4437318,6,63298166,2018-10-08T06:57:06Z
16488473,Caboosey,171516,5,40992347,2016-07-24T14:30:38Z
16488474,DaveHansenTiger,7168,1,306903,2007-12-15T06:33:36Z
16488476,DaveHansenTiger,7168,1,306903,2007-12-15T06:33:37Z
